;Período analisado 01/01/2026 a 19/03/2026;;;;;;;;
;Cliente;total_digitais;% digital;total_fisicos;% fisico;total_geral;Situaçăo;Obs.;Próximos passos
1;Itu CIS;0;"0,00%";0;"0,00%";0;Fisico e Digital;Sistema bloqueado;
2;Caieiras;5736;"97,53%";145;"2,47%";5881;Fisico e Digital;;
3;Caçapava PM;975;"56,85%";740;"43,15%";1715;Fisico e Digital;;
4;Taboăo da Serra;2682;"32,70%";5519;"67,30%";8201;Fisico e Digital;;
5;Santo Antonio da Alegria PM;86;"29,25%";208;"70,75%";294;Fisico e Digital;;
6;Poá;453;"10,88%";3710;"89,12%";4163;Fisico e Digital;;
7;Ferraz de Vasconvelos CM;0;"0,00%";0;"0,00%";0;Fisico;Só utilizaram em 2018;
8;Sorocaba URBES;0;"0,00%";0;0%;0;Fisico;Sistema bloqueado;
9;Itapeva IPMI;0;"0,00%";0;"0,00%";0;Fisico;;
10;Bauru FunPrev;5;"0,55%";900;"99,45%";905;Fisico;;
11;Ferraz de Vasconcelos PM ;11;"0,18%";6152;"99,82%";6163;Fisico;;
12;Embu Guaçu PM;2;"0,11%";1836;"99,89%";1838;Fisico;;
13;Cabreúva CM;0;"0,00%";311;"100,00%";311;Fisico;;
14;Caieiras Prev;0;"0,00%";43;"100,00%";43;Fisico;;
15;Cajuru PM;0;"0,00%";913;"100,00%";913;Fisico;;
16;Jandira PM;0;"0,00%";4207;"100,00%";4207;Fisico;aguardando a descriçăo dos assuntos;
17;Rio Claro Fundaçăo;0;"0,00%";1620;"100,00%";1620;Fisico;;
18;Itu PM;0;"0,00%";5055;"100,00%";5055;Fisico;;
19;Limeira CEPROSOM;0;"0,00%";3;"100,00%";3;Fisico;;
20;Rio Claro PM;0;"0,00%";979;"100,00%";979;Fisico;SEI;
21;Santa Cruz da Esperança PM;0;"0,00%";77;100%;77;Fisico;;
22;Sorocaba PM;0;"0,00%";275;100%;275;Fisico;;
23;Tiete SAMAE;0;"0,00%";795;100%;795;Fisico;;
24;Caçapava Fusam;0;"0,00%";0;"0,00%";0;Em transiçăo;aguardando a implantaçăo da assinatura digital;
25;Cubatăo;595;"65,31%";316;"34,69%";911;Em transiçăo;;
26;Caçapava CM;2;"33,33%";4;"66,67%";6;Em transiçăo;;
27;Mococa;35;"0,65%";5387;"99,35%";5422;Em transiçăo;;
28;Itapeva PM;5187;"100,00%";0;"0,00%";5187;Digital;;
29;Cabreúva PM;1832;"100,00%";0;"0,00%";1832;Digital;;
30;Bebedouro SAAE;299;"100,00%";0;"0,00%";299;Digital;;
31;Bebedouro Sasemb;29;"100,00%";0;"0,00%";29;Digital;;
32;Mairiporă IPREMA;94;"100,00%";0;"0,00%";94;Digital;;
33;Santo Antonio do Jardim PM;604;"100,00%";0;0%;604;Digital;;
34;Bragança;13432;"99,99%";1;"0,01%";13433;Digital;;
35;Cordeiropolis PM;3871;"99,95%";2;"0,05%";3873;Digital;;
36;Mairiporă PM;7285;"99,95%";4;"0,05%";7289;Digital;;
37;Bebedouro;9356;"99,89%";10;"0,11%";9366;Digital;;
38;Barra Bonita PM;2466;"99,84%";4;"0,16%";2470;Digital;;
39;Itirapina PM;1126;"98,86%";13;"1,14%";1139;Digital;;
